# schema bench results
# date: 2026-08-31T13:21:27Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: ced73c1
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ae730d5 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,7,575498166,570464215,585465811,57627.97,2.61,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,7,423564294,395589181,429161526,42413.95,7.93,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,7,714940012,623174294,788138515,38863.74,23.07,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,7,452853686,427150771,458715596,24616.87,6.97,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,7,103639249,88567585,120769604,1284.90,31.07,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,7,168077820,85654022,203867537,2083.79,70.33,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,7,633435497,600829896,696328319,3624.55,15.08,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,7,902964262,823808053,972600033,5166.80,16.48,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,7,91435886,74591031,95103365,5319.20,22.43,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,7,191298318,178453920,225431490,11128.61,24.56,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,7,418393630,412903226,423756869,11172.32,2.59,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,7,223874854,213148605,241485741,5978.10,12.66,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,7,895819045,817097771,947604153,8543.20,14.57,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,7,1291298865,1171308434,1315066241,12314.79,11.13,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,7,538014056,465366549,553995040,13340.34,16.47,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,7,722959616,715735558,724814125,17926.17,1.26,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probearray,write,20000000,47,7,72608986,72179235,72879126,3254.53,0.96,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probearray,read,20000000,47,7,125784581,123974114,126759581,5638.00,2.21,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,testdata,write,8000000,92,7,41659940,41028166,41976902,3655.16,2.28,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,testdata,read,8000000,92,7,69309676,69017876,70224103,6081.09,1.74,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,real_packet,write,8000000,204,7,23430109,23347780,23464264,4558.32,0.50,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,real_packet,read,8000000,204,7,27427224,26969898,27624405,5335.95,2.39,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,bench_mixed,write,4000000,438,7,6425114,6367399,6481091,2683.83,1.77,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,bench_mixed,round_trip,4000000,438,7,3475022,3456628,3502146,1451.55,1.31,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,7,57027,56279,57232,3563.22,1.67,a4bc52bae5343e60,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,7,53711,53388,54390,3356.00,1.87,a4bc52bae5343e60,bits,hdr,removed,O3,unknown
