# schema bench results
# date: 2026-08-31T13:22:49Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabeled
# schema commit: ced73c1
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ae730d5 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,7,575608586,562561530,583458939,57639.03,3.63,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,7,430439227,428663285,439214538,43102.38,2.45,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,7,748520502,745225897,779518161,40689.15,4.58,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,7,451486378,450342683,453315578,24542.54,0.66,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,7,121578391,120990001,123745785,1507.30,2.27,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,7,212573736,208326100,214069733,2635.44,2.70,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,7,682217919,586504889,703260639,3903.68,17.11,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,7,965187885,954364478,968059092,5522.85,1.42,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,7,95585731,92048717,96111104,5560.62,4.25,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,7,228613885,119558232,230109877,13299.41,48.36,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,7,410487968,370511885,418284250,10961.21,11.64,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,7,241036457,230464530,241675415,6436.37,4.65,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,7,934760303,918135325,979469403,8914.57,6.56,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,7,822281252,417178634,1143275663,7841.89,88.30,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,7,475244584,182428436,519963765,11783.94,71.02,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,7,172657290,166026126,199614183,4281.13,19.45,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probearray,write,20000000,47,7,16434853,15374492,19579165,736.65,25.58,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,probearray,read,20000000,47,7,27892136,25564071,29729388,1250.20,14.93,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,testdata,write,8000000,92,7,9761109,8496005,40191311,856.42,324.71,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,testdata,read,8000000,92,7,68662455,68141940,70227185,6024.31,3.04,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,real_packet,write,8000000,204,7,22843437,21482392,23505353,4444.18,8.86,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,real_packet,read,8000000,204,7,27261977,26585757,27556655,5303.81,3.56,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,bench_mixed,write,4000000,438,7,6433982,6328403,6461086,2687.53,2.06,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,bench_mixed,round_trip,4000000,438,7,3442317,3208571,3473645,1437.89,7.70,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,7,56506,50703,57036,3530.63,11.21,a4bc52bae5343e60,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,7,54100,53660,54216,3380.35,1.03,a4bc52bae5343e60,bits,hdr,removed,O3,unknown
