# schema bench results
# date: 2026-08-16T20:43:25Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/Users/glenn/rowan-working/cfixes-air/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/Users/glenn/rowan-working/cfixes-air/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: cfixes-air routine pass: Air on AC power (90-96%, charging), ambient: duetexpertd bursty ~97% at pass setup, 2x qemu-system-aarch64 ~11% each (standing VMs), Claude app ~30%; no other builds; twin gates armed, first routine outing of §2.6.1
# schema commit: 5b77947
# serialize commit: 119f98f (main) [build-verified: /Users/glenn/rowan-working/cfixes-air/serialize]
# serialize.c commit: b6d6af5 (main) [build-verified: /Users/glenn/rowan-working/cfixes-air/serialize.c]
# serialize.go commit: a094849 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (debug-assert-check-model) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: 2faa767 (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes
# langs: cpp c
# load_start: 2.78 2.65 2.54
# load_end: 2.57 2.92 2.78
# load_max: 3.63
# core_busy_pct: n/a
# foreign_procs: 7
# control_start_median: 138395986   control_end_median: 141928968
# control_delta_pct: 2.6   window: OK
# twin_gate: OK (§2.6.1 A/A twin legs, alternating positions, same inode)
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,14,595152302,325489931,602818175,59596.05,46.60,6b118770d85af4f6,gen,hdr,removed,O3,full
c,rigidbody_moving,read,24000000,105,14,446391540,384436721,450247636,44699.78,14.74,6b118770d85af4f6,gen,hdr,removed,O3,full
c,rigidbody_at_rest,write,32000000,57,14,799610280,670578375,814601733,43466.36,18.01,6b118770d85af4f6,gen,hdr,removed,O3,full
c,rigidbody_at_rest,read,32000000,57,14,473169844,412344565,475914276,25721.25,13.43,6b118770d85af4f6,gen,hdr,removed,O3,full
c,chat,write,48000000,13,14,120408792,102177009,121140538,1492.80,15.75,6b118770d85af4f6,gen,hdr,removed,O3,full
c,chat,read,48000000,13,14,221428833,176405733,222634508,2745.22,20.88,6b118770d85af4f6,gen,hdr,removed,O3,full
c,test,write,192000000,6,14,725366008,543284494,730482422,4150.58,25.81,6b118770d85af4f6,gen,hdr,removed,O3,full
c,test,read,192000000,6,14,1010218001,736981905,1025575283,5780.51,28.57,6b118770d85af4f6,gen,hdr,removed,O3,full
c,inputpacket,write,16000000,61,14,98997650,68557129,100202283,5759.10,31.97,6b118770d85af4f6,gen,hdr,removed,O3,full
c,inputpacket,read,16000000,61,14,235649376,160417084,237854552,13708.70,32.86,6b118770d85af4f6,gen,hdr,removed,O3,full
c,shipcreate,write,32000000,28,14,433516234,263915349,435818862,11576.13,39.65,6b118770d85af4f6,gen,hdr,removed,O3,full
c,shipcreate,read,32000000,28,14,237663926,185536287,240339480,6346.31,23.06,6b118770d85af4f6,gen,hdr,removed,O3,full
c,ship_shallow,write,32000000,28,14,408129984,254596663,411919932,10898.25,38.55,6b118770d85af4f6,gen,hdr,removed,O3,full
c,ship_shallow,read,32000000,28,14,272855962,197469917,274916451,7286.04,28.38,6b118770d85af4f6,gen,hdr,removed,O3,full
c,probe_header,write,256000000,10,14,1012341874,890815897,1026731104,9654.44,13.43,6b118770d85af4f6,gen,hdr,removed,O3,full
c,probe_header,read,256000000,10,14,1382275302,1251111828,1391765747,13182.40,10.18,6b118770d85af4f6,gen,hdr,removed,O3,full
c,probebits,write,128000000,26,14,565034101,531581330,569721949,14010.32,6.75,6b118770d85af4f6,gen,hdr,removed,O3,full
c,probebits,read,128000000,26,14,754090088,704000705,761696201,18698.07,7.65,6b118770d85af4f6,gen,hdr,removed,O3,full
c,probearray,write,20000000,47,14,78795688,68106669,79213254,3531.83,14.10,6b118770d85af4f6,gen,hdr,removed,O3,full
c,probearray,read,20000000,47,14,138051492,113056947,138489769,6187.84,18.42,6b118770d85af4f6,gen,hdr,removed,O3,full
c,testdata,write,8000000,92,14,35890454,30908318,36137286,3148.96,14.57,6b118770d85af4f6,gen,hdr,removed,O3,full
c,testdata,read,8000000,92,14,56339361,44399305,56910338,4943.10,22.21,6b118770d85af4f6,gen,hdr,removed,O3,full
c,message_batch,write,26214400,25,14,153665698,135035285,174079116,3663.68,25.41,6b118770d85af4f6,gen,hdr,removed,O3,full
c,message_batch,read,26214400,25,14,144253490,113708684,147688425,3439.27,23.56,6b118770d85af4f6,gen,hdr,removed,O3,full
c,bench_packet,write,32000000,49,14,115368542,105063399,116796420,5391.18,10.17,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bench_packet,read,32000000,49,14,137164516,133298898,139051840,6409.70,4.19,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bench_ints,write,40000000,14,14,186152402,164129498,188396650,2485.40,13.04,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bench_ints,read,40000000,14,14,174576084,150800562,176666740,2330.84,14.82,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bench_bits,write,48000000,20,14,187282651,184638109,190535922,3572.13,3.15,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bench_bits,read,48000000,20,14,218028215,211635546,220456529,4158.56,4.05,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bench_mixed,write,40000000,21,14,155242742,138353729,157080193,3109.07,12.06,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bench_mixed,read,40000000,21,14,169636724,165077793,171014716,3397.34,3.50,6b118770d85af4f6,rt,hdr,removed,O3,full
c,bitpacker,write,24576,65518,14,59080,44755,59542,3691.52,25.03,6b118770d85af4f6,bits,hdr,removed,O3,full
c,bitpacker,read,24576,65518,14,55965,54945,56442,3496.85,2.67,6b118770d85af4f6,bits,hdr,removed,O3,full
cpp,rigidbody_moving,write,24000000,105,14,57010691,51960822,57335243,5708.81,9.43,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,14,299862828,291356427,301476451,30027.01,3.37,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,14,102715767,86824476,103559144,5583.57,16.29,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,14,474812540,393624107,477100127,25810.54,17.58,6b118770d85af4f6,gen,hdr,removed,O3,full
