# schema bench results
# date: 2026-08-17T22:40:00Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I/Users/glenn/rowan-working/pins-sixlang-air-1/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I/Users/glenn/rowan-working/pins-sixlang-air-1/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# pinning: none
# noise: NOISY: unpinned M2 laptop (§7), AC power; two qemu VMs (~14% CPU each) resident throughout; shared desktop
# schema commit: f1cbee8
# serialize commit: 719e10e (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize]
# serialize.c commit: 25221cc (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize.c]
# serialize.go commit: 270546f (sync-standard-implementation-law) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 02c6f49 (release-v2.1.1) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: 2b93b73 (release-v1.3.1) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: 2a3aef0 (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize.js]
# rounds: 3   interleaved: yes
# langs: cpp c js
# load_start:  1.16 2.13 2.85 
# load_end:  2.72 3.19 2.86 
# load_max: 5.45 (peak 5.15 during r0-js leg — see boundaries; hb samples in pass log)
# core_busy_pct: n/a
# foreign_procs: 2 (two qemu-system-aarch64 VMs ~14% CPU each, resident throughout)
# js_leg_nice: 5 (launcher artifact, zsh BG_NICE; codec=runtime rows reproduce sixlang-air-1 within noise — no correction applied)
# control_start_median: 293452712   control_end_median: 284735064
# control_delta_pct: 3.0   window: OK
# corpus_id: 7a7c343f1a446f4c
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,3,593354428,582948748,613418528,59416.02,5.14,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,3,452702066,445467370,460052139,45331.68,3.22,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,3,806431286,778550921,824274893,43837.15,5.67,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,3,483756368,474897230,484606181,26296.72,2.01,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,3,122948615,119332039,124443569,1524.29,4.16,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,3,226229415,222240742,226757370,2804.74,2.00,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,3,741544653,723769027,767370756,4243.15,5.88,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,3,1040763226,1003958314,1046949124,5955.29,4.13,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,3,101400596,97093270,101498370,5898.89,4.34,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,3,242152738,233942070,242851072,14087.03,3.68,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,3,446796330,428242600,460431653,11930.75,7.20,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,3,252958428,239381200,253742705,6754.72,5.68,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,write,32000000,28,3,418437399,408225748,427247723,11173.48,4.55,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,read,32000000,28,3,286110242,279266228,286787177,7639.97,2.63,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,3,1042226456,998887956,1080880241,9939.45,7.87,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,3,1401480314,1378701219,1422198517,13365.56,3.10,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,3,581218470,564145056,593573638,14411.62,5.06,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,3,773203660,754396718,779043723,19172.00,3.19,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probearray,write,20000000,47,3,78926910,76693586,81280658,3537.72,5.81,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probearray,read,20000000,47,3,141431713,137985277,142060589,6339.35,2.88,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
