# schema bench results
# date: 2026-08-31T12:05:50Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: df5756e
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,593607588,568201431,597754059,59441.37,4.98,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,411892829,406875346,414454086,41245.22,1.84,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,807043981,768645657,822200250,43870.46,6.64,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,433700567,431313105,436292989,23575.72,1.15,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,126607111,125972184,126937058,1569.65,0.76,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,223199451,222449306,223700962,2767.17,0.56,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,731499283,727666535,733996746,4185.67,0.87,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,1025466192,1016021522,1033223239,5867.76,1.68,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,110144384,107942881,110470027,6407.55,2.29,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,261939030,259279891,263978486,15238.08,1.79,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,448643989,445521120,451198587,11980.09,1.27,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,244247463,243474842,246668292,6522.11,1.31,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,1027095324,1021321413,1042730743,9795.14,2.08,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1404609974,1394262101,1413265323,13395.40,1.35,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,573324831,565545677,577334221,14215.89,2.06,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,657672904,654631562,661002672,16307.35,0.97,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probearray,write,20000000,47,7,81624810,80463982,81816141,3658.64,1.66,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probearray,read,20000000,47,7,132475664,131761131,132987087,5937.92,0.93,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,testdata,write,8000000,92,7,47094086,46779933,47261806,4131.94,1.02,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,testdata,read,8000000,92,7,66203701,51926444,69146953,5808.58,26.01,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,real_packet,write,8000000,204,7,20308722,20249044,20493619,3951.05,1.20,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,real_packet,read,8000000,204,7,26351731,22298248,26498914,5126.72,15.94,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,7,7328098,6670455,7440548,3061.01,10.51,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,bench_mixed,round_trip,4000000,438,7,3599873,3350001,3653290,1503.70,8.43,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,7,59897,59592,60155,3742.53,0.94,a4bc52bae5343e60,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,7,91995,91391,92286,5748.10,0.97,a4bc52bae5343e60,bits,hdr,removed,O3,unknown
