# schema bench results
# date: 2026-08-31T12:04:54Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: 6eaa333
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,7,606612071,591103887,609075221,60743.59,2.96,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,7,448841428,446528243,453909294,44945.10,1.64,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,7,793041065,768990460,814021521,43109.27,5.68,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,7,477818757,476388972,478132891,25973.96,0.36,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,7,121194065,117994680,121940686,1502.54,3.26,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,7,220720099,215712886,224217341,2736.44,3.85,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,7,683731464,648022519,726774446,3912.34,11.52,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,7,1019692818,977472318,1026825825,5834.73,4.84,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,7,99899476,99649979,100016253,5811.57,0.37,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,7,238474953,234164618,240099641,13873.07,2.49,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,7,439904871,435486724,441854685,11746.73,1.45,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,7,248402847,247155778,250371645,6633.07,1.29,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,7,1014713343,978772864,1031139611,9677.06,5.16,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,7,1391485846,1349983125,1404525205,13270.24,3.92,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,7,570946835,568686689,575764800,14156.93,1.24,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,7,761107411,755755253,763554585,18872.06,1.02,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,probearray,write,20000000,47,7,81313704,81210029,81893040,3644.70,0.84,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
c,probearray,read,20000000,47,7,131391369,130876348,131739288,5889.31,0.66,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
