# schema bench results
# date: 2026-08-31T12:07:35Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabeled
# schema commit: 6eaa333
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,585611053,577477761,591985990,58640.63,2.48,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,403779545,401623510,404505456,40432.79,0.71,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,784902883,741292712,795279678,42666.88,6.88,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,427930488,424563425,429427404,23262.06,1.14,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,122793252,120994067,123348474,1522.36,1.92,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,220610202,220270424,222007538,2735.07,0.79,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,727448850,725743808,732034417,4162.50,0.86,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,1018158485,1014910913,1019980596,5825.95,0.50,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,109478032,105462143,110230131,6368.79,4.36,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,260711227,253229667,262228811,15166.65,3.45,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,447335299,440350560,449209497,11945.14,1.98,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,243954192,241926872,245719661,6514.28,1.55,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,1016464945,980323014,1027902089,9693.77,4.68,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1393068078,1386781601,1410513332,13285.33,1.70,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,563796138,562328598,567883105,13979.63,0.99,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,645475651,527956066,656204000,16004.91,19.87,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,probearray,write,20000000,47,7,76947986,75794229,77615484,3449.02,2.37,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,probearray,read,20000000,47,7,130715750,129237718,132209916,5859.03,2.27,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,testdata,write,8000000,92,7,46444234,46001852,47006471,4074.93,2.16,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,testdata,read,8000000,92,7,68626698,66215094,69096513,6021.17,4.20,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,real_packet,write,8000000,204,7,20247505,19428573,20307094,3939.14,4.34,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,real_packet,read,8000000,204,7,26146967,26132159,26268861,5086.88,0.52,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_packet,write,32000000,49,7,490292778,379751151,496429647,22911.40,23.80,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_packet,read,32000000,49,7,347704043,345727144,350475445,16248.22,1.37,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_ints,write,40000000,14,7,439580568,438720762,440875392,5869.03,0.49,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_ints,read,40000000,14,7,485698947,482537662,488502382,6484.78,1.23,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_bits,write,48000000,20,7,362565833,352593120,368218404,6915.39,4.31,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_bits,read,48000000,20,7,557260987,543175117,569452720,10628.91,4.72,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,7,7432984,6701918,7514489,3104.83,10.93,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bench_mixed,round_trip,4000000,438,7,3623249,3603616,3631376,1513.47,0.77,8e0f582f66343ad0,gen,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,7,58934,58716,58981,3682.34,0.45,8e0f582f66343ad0,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,7,91503,91273,91621,5717.34,0.38,8e0f582f66343ad0,bits,hdr,removed,O3,unknown
