# schema bench results
# date: 2026-08-16T06:21:24Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -flto -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg c-lto] phase4 Air-on-power airport window; qemu x2 ~11% foreign at start; serialize.js port campaign stopped for the window
# schema commit: 99120c2
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: b80b838 (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: 6b28072 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: d8393ad (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (six phase-4 legs per round)
# load_start: 2.28 2.94 3.29
# load_end: 2.98 3.10 3.13
# load_max: 5.18
# foreign_procs: see noise line (qemu x2 at window start)
# control_start_median: 100626554   control_end_median: 100933356
# control_delta_pct: 0.3   window: OK
# era: harness schema 99120c2 — Air-on-external-power airport window (2026-08-16); NEW ERA for this host:
# era:   not comparable to the M3 Ultra studio tables (§5.3 rule 8, verified refusing) nor to earlier
# era:   battery-era Air rows — different power state, different background estate. Within this pass set only.
# era: legs are FLAG-FLIP A/B builds of merged mains (schema 99120c2, serialize b6f4c2c, serialize.c b80b838):
# era:   cpp-off / cpp-A / cpp-B / cpp-AB differ ONLY by the SCHEMA_READ_SPINE_DEMAND and
# era:   SERIALIZE_READ_SPINE_DEMAND defines; c-lto is the labelled §3.1 packaging diagnostic, never a standard row.
# era:   `ab` across legs refuses on the differing flag line BY DESIGN — the A/B is read in the
# era:   phase-4 analysis beside these files, not through the ratio tool.
# era: batch-row dilution (BENCH-STANDARD §1.7): message_batch is ≈74% bulk-copy bits (Chat 25% + Block 10%),
# era:   so dispatch-boundary deltas on the batch rows are DILUTED by memcpy traffic; the undiluted
# era:   dispatch view arrives with the planned RealPacket row.
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,7,54465366,51288188,55028833,5453.93,6.87,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,rigidbody_moving,read,24000000,105,7,47484790,42994110,47995104,4754.93,10.53,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,rigidbody_at_rest,write,32000000,57,7,103525697,94347689,104726435,5627.60,10.03,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,rigidbody_at_rest,read,32000000,57,7,93019740,80900217,93772619,5056.50,13.84,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,chat,write,48000000,13,7,70323900,59152711,71059527,871.86,16.93,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:1
c,chat,read,48000000,13,7,237314783,218717676,237947701,2942.17,8.10,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,test,write,192000000,6,7,257933469,239690500,260657073,1475.91,8.13,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,test,read,192000000,6,7,617391136,602379399,624979656,3532.74,3.66,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,inputpacket,write,16000000,61,7,64587748,63028355,65197017,3757.34,3.36,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,inputpacket,read,16000000,61,7,40054775,35356616,40484089,2330.15,12.80,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,shipcreate,write,32000000,28,7,78609400,74714858,78927766,2099.10,5.36,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,shipcreate,read,32000000,28,7,86462184,84644217,87528070,2308.79,3.34,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,ship_shallow,write,32000000,28,7,81322301,70343584,82058015,2171.54,14.40,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,ship_shallow,read,32000000,28,7,90364338,86559477,91048768,2412.99,4.97,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probe_header,write,256000000,10,7,276760646,265068524,278904776,2639.40,5.00,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probe_header,read,256000000,10,7,234517709,225394374,237226818,2236.54,5.05,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probebits,write,128000000,26,7,188406245,183497023,189651264,4671.63,3.27,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probebits,read,128000000,26,7,182050917,172134168,183528332,4514.05,6.26,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probearray,write,20000000,47,7,66824149,62687082,67385445,2995.24,7.03,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probearray,read,20000000,47,7,64508013,53247144,65160376,2891.42,18.47,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,testdata,write,8000000,92,7,21268563,18682335,21545688,1866.06,13.46,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:1
c,testdata,read,8000000,92,7,23541252,21089205,23721697,2065.46,11.18,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:1
c,message_batch,write,26214400,25,7,74315019,65535017,75105577,1771.81,12.88,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:2
c,message_batch,read,26214400,25,7,83505562,74327029,88898836,1990.93,17.45,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,bench_packet,write,32000000,49,7,80822572,72601705,81539465,3776.84,11.06,6b118770d85af4f6,rt,hdr+tu,contract,O3,full
