# schema bench results
# date: 2026-08-16T06:21:24Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -DSCHEMA_READ_SPINE_DEMAND -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg cpp-A] phase4 Air-on-power airport window; qemu x2 ~11% foreign at start; serialize.js port campaign stopped for the window
# schema commit: 99120c2
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: b80b838 (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: 6b28072 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: d8393ad (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (six phase-4 legs per round)
# load_start: 2.28 2.94 3.29
# load_end: 2.98 3.10 3.13
# load_max: 5.18
# foreign_procs: see noise line (qemu x2 at window start)
# control_start_median: 100626554   control_end_median: 100933356
# control_delta_pct: 0.3   window: OK
# era: harness schema 99120c2 — Air-on-external-power airport window (2026-08-16); NEW ERA for this host:
# era:   not comparable to the M3 Ultra studio tables (§5.3 rule 8, verified refusing) nor to earlier
# era:   battery-era Air rows — different power state, different background estate. Within this pass set only.
# era: legs are FLAG-FLIP A/B builds of merged mains (schema 99120c2, serialize b6f4c2c, serialize.c b80b838):
# era:   cpp-off / cpp-A / cpp-B / cpp-AB differ ONLY by the SCHEMA_READ_SPINE_DEMAND and
# era:   SERIALIZE_READ_SPINE_DEMAND defines; c-lto is the labelled §3.1 packaging diagnostic, never a standard row.
# era:   `ab` across legs refuses on the differing flag line BY DESIGN — the A/B is read in the
# era:   phase-4 analysis beside these files, not through the ratio tool.
# era: batch-row dilution (BENCH-STANDARD §1.7): message_batch is ≈74% bulk-copy bits (Chat 25% + Block 10%),
# era:   so dispatch-boundary deltas on the batch rows are DILUTED by memcpy traffic; the undiluted
# era:   dispatch view arrives with the planned RealPacket row.
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,57587976,57382949,58388662,5766.62,1.75,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,302651033,223897393,306139532,30306.20,27.17,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,103333320,80568495,105488000,5617.14,24.12,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,478116817,424008602,482362978,25990.16,12.21,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,97435353,95863195,98478675,1207.98,2.68,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,131325422,113459251,132787292,1628.14,14.72,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,729597283,686210870,739146198,4174.79,7.26,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,1016467973,839681203,1027546866,5816.28,18.48,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,64841447,64374218,65186470,3772.09,1.25,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,132353687,129171325,133738636,7699.56,3.45,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,97911851,95838070,98672571,2614.53,2.89,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,215542343,213974962,216729057,5755.60,1.28,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,ship_shallow,write,32000000,28,7,118595331,100264696,120031677,3166.84,16.67,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,ship_shallow,read,32000000,28,7,263491322,253885556,265859120,7035.98,4.54,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,1022129846,1001616378,1032112229,9747.79,2.98,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1398096644,1190242565,1410455047,13333.29,15.75,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,184292772,173128233,186933051,4569.64,7.49,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,760264500,714082487,765199180,18851.16,6.72,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probearray,write,20000000,47,7,72548880,72330071,73011020,3251.84,0.94,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probearray,read,20000000,47,7,138753548,137632001,139347089,6219.31,1.24,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,testdata,write,8000000,92,7,27504228,26922245,27678281,2413.17,2.75,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,testdata,read,8000000,92,7,38629296,38359071,38779081,3389.26,1.09,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,message_batch,write,26214400,25,7,88721208,81775732,92944816,2115.28,12.59,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,message_batch,read,26214400,25,7,96537811,94310142,98657765,2301.64,4.50,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,bench_packet,write,32000000,49,7,81968831,81396967,82439222,3830.41,1.27,6b118770d85af4f6,rt,hdr,removed,O3,unknown
