# schema bench results
# date: 2026-08-16T06:21:24Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -DSERIALIZE_READ_SPINE_DEMAND -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg cpp-B] phase4 Air-on-power airport window; qemu x2 ~11% foreign at start; serialize.js port campaign stopped for the window
# schema commit: 99120c2
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: b80b838 (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: 6b28072 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: d8393ad (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (six phase-4 legs per round)
# load_start: 2.28 2.94 3.29
# load_end: 2.98 3.10 3.13
# load_max: 5.18
# foreign_procs: see noise line (qemu x2 at window start)
# control_start_median: 100626554   control_end_median: 100933356
# control_delta_pct: 0.3   window: OK
# era: harness schema 99120c2 — Air-on-external-power airport window (2026-08-16); NEW ERA for this host:
# era:   not comparable to the M3 Ultra studio tables (§5.3 rule 8, verified refusing) nor to earlier
# era:   battery-era Air rows — different power state, different background estate. Within this pass set only.
# era: legs are FLAG-FLIP A/B builds of merged mains (schema 99120c2, serialize b6f4c2c, serialize.c b80b838):
# era:   cpp-off / cpp-A / cpp-B / cpp-AB differ ONLY by the SCHEMA_READ_SPINE_DEMAND and
# era:   SERIALIZE_READ_SPINE_DEMAND defines; c-lto is the labelled §3.1 packaging diagnostic, never a standard row.
# era:   `ab` across legs refuses on the differing flag line BY DESIGN — the A/B is read in the
# era:   phase-4 analysis beside these files, not through the ratio tool.
# era: batch-row dilution (BENCH-STANDARD §1.7): message_batch is ≈74% bulk-copy bits (Chat 25% + Block 10%),
# era:   so dispatch-boundary deltas on the batch rows are DILUTED by memcpy traffic; the undiluted
# era:   dispatch view arrives with the planned RealPacket row.
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,58572568,58083036,58688603,5865.21,1.03,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,89399917,87575340,91043529,8952.13,3.88,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,103955943,102481821,105169520,5650.99,2.59,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,136801391,135092301,138200560,7436.45,2.27,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,94877512,92404184,95440045,1176.27,3.20,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,131820495,131035570,132980274,1634.28,1.48,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,730037676,714137379,738748394,4177.31,3.37,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,1016200097,1006893111,1028236564,5814.74,2.10,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,64696370,63525254,65165872,3763.66,2.54,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,46548620,45370067,47010833,2707.93,3.52,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,97913736,95455534,98993285,2614.58,3.61,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,111696337,108428846,112641352,2982.61,3.77,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,ship_shallow,write,32000000,28,7,114540430,111728414,115435881,3058.56,3.24,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,ship_shallow,read,32000000,28,7,121211930,120148684,122050719,3236.71,1.57,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,1016394321,1004103032,1021035762,9693.09,1.67,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1397083451,1367686973,1407541108,13323.63,2.85,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,184544328,160624789,186095988,4575.87,13.80,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,757058237,706401279,763407720,18771.66,7.53,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probearray,write,20000000,47,7,72369985,68307401,73381681,3243.82,7.01,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,probearray,read,20000000,47,7,77626316,69463489,78625508,3479.42,11.80,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,testdata,write,8000000,92,7,27068872,24713602,27352290,2374.97,9.75,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,testdata,read,8000000,92,7,37462464,27854268,37917200,3286.88,26.86,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,message_batch,write,26214400,25,7,87460643,74507618,89616455,2085.22,17.28,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,message_batch,read,26214400,25,7,67683295,56608686,68974841,1613.70,18.27,6b118770d85af4f6,gen,hdr,removed,O3,unknown
cpp,bench_packet,write,32000000,49,7,81913665,50143591,82672928,3827.83,39.71,6b118770d85af4f6,rt,hdr,removed,O3,unknown
