# schema bench results
# date: 2026-08-16T06:21:24Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg cpp-off] phase4 Air-on-power airport window; qemu x2 ~11% foreign at start; serialize.js port campaign stopped for the window
# schema commit: 99120c2
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: b80b838 (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: 6b28072 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: d8393ad (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (six phase-4 legs per round)
# load_start: 2.28 2.94 3.29
# load_end: 2.98 3.10 3.13
# load_max: 5.18
# foreign_procs: see noise line (qemu x2 at window start)
# control_start_median: 100626554   control_end_median: 100933356
# control_delta_pct: 0.3   window: OK
# era: harness schema 99120c2 — Air-on-external-power airport window (2026-08-16); NEW ERA for this host:
# era:   not comparable to the M3 Ultra studio tables (§5.3 rule 8, verified refusing) nor to earlier
# era:   battery-era Air rows — different power state, different background estate. Within this pass set only.
# era: legs are FLAG-FLIP A/B builds of merged mains (schema 99120c2, serialize b6f4c2c, serialize.c b80b838):
# era:   cpp-off / cpp-A / cpp-B / cpp-AB differ ONLY by the SCHEMA_READ_SPINE_DEMAND and
# era:   SERIALIZE_READ_SPINE_DEMAND defines; c-lto is the labelled §3.1 packaging diagnostic, never a standard row.
# era:   `ab` across legs refuses on the differing flag line BY DESIGN — the A/B is read in the
# era:   phase-4 analysis beside these files, not through the ratio tool.
# era: batch-row dilution (BENCH-STANDARD §1.7): message_batch is ≈74% bulk-copy bits (Chat 25% + Block 10%),
# era:   so dispatch-boundary deltas on the batch rows are DILUTED by memcpy traffic; the undiluted
# era:   dispatch view arrives with the planned RealPacket row.
# corpus_id: 6b118770d85af4f6
# era: PAIR FILE — cpp rows are leg cpp-off, c rows are leg c-main, same pass, same rounds, same window;
# era:   assembled row-for-row from the stamped leg CSVs for the cross-language ratio read.
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,58299200,52084591,58833966,5837.84,11.58,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,90269412,82452221,91373080,9039.20,9.88,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,103535815,91825696,105747908,5628.15,13.45,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,135760956,113994756,137302520,7379.89,17.17,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,95358042,73686924,97160616,1182.23,24.62,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,131822682,127683430,133946308,1634.31,4.75,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,726673816,708073823,745527684,4158.06,5.15,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1017839137,863441517,1028051207,5824.12,16.17,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,64467172,63682574,65096805,3750.32,2.19,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,46546369,45190224,47380646,2707.79,4.71,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,97867857,97168512,99213898,2613.35,2.09,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,113431216,110268004,114792407,3028.94,3.99,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,118963420,113817369,120404107,3176.67,5.54,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,121906503,121239848,123334601,3255.25,1.72,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1018588748,997375236,1062697782,9714.02,6.41,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1399251183,1389648785,1408094343,13344.30,1.32,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,184414269,182691774,186807703,4572.65,2.23,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,7,757306080,470898128,766785029,18777.81,39.07,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,7,72147068,70846941,73029371,3233.83,3.02,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,7,76830794,62272802,79517514,3443.76,22.45,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,7,27562846,26328968,27611494,2418.31,4.65,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,7,27044451,24481658,27379882,2372.83,10.72,6b118770d85af4f6,gen,hdr,removed,O3,partial:5
cpp,message_batch,write,26214400,25,7,88846524,60951725,96015456,2118.27,39.47,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,message_batch,read,26214400,25,7,78421424,71270192,80825997,1869.71,12.19,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,bench_packet,write,32000000,49,7,81803739,72095718,82851409,3822.69,13.15,6b118770d85af4f6,rt,hdr,removed,O3,partial:1
cpp,bench_packet,read,32000000,49,7,110660991,99152236,111789140,5171.19,11.42,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,write,40000000,14,7,182458133,181702621,184813135,2436.08,1.70,6b118770d85af4f6,rt,hdr,removed,O3,full
