# schema bench results
# date: 2026-08-16T11:08:14Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -DSCHEMA_READ_SPINE_DEMAND -DSERIALIZE_READ_SPINE_DEMAND -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg cpp-AB] post-law hotel window, Air on external power, machine quiet by Glenn's word; all other workers stopped
# schema commit: 6550f33
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: 409bdaf (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: a094849 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (debug-assert-check-model) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: 2faa767 (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (four post-law legs per round)
# load_start: 3.20 2.79 2.62
# load_end: 2.80 2.82 2.68
# load_max: 3.34
# control_start_median: 101005796   control_end_median: 101602120
# control_delta_pct: 0.6   window: OK
# era: POST-LAW — serialize.c a2a561f (#20: zero release validation, checks=removed by ruling) +
# era:   409bdaf (#21: align-up buffer contract, tail-window machinery gone, reader is C++'s
# era:   BitReader load-for-load); schema 6550f33 with #50 (C legs adopt the contract).
# era: Air-on-external-power hotel window, 2026-08-16, machine quiet by Glenn's word.
# era: NOT comparable to the phase4-air airport rows (pre-law serialize.c v1.3.0), nor to any other
# era:   host or era (§5.3 rule 8). cpp-off and cpp-AB differ ONLY by the two READ_SPINE_DEMAND defines.
# era: c checks metadata is 'removed' as of this pass — the post-#20 truth; 'contract' died with the
# era:   write-capacity check. Linkage stays hdr+tu, and that caption still applies to C-vs-C++ ratios.
# corpus_id: 6b118770d85af4f6
# era: PAIR FILE — cpp rows are leg cpp-AB, c rows are leg c-main, same pass, same rounds, same window;
# era:   assembled row-for-row from the stamped leg CSVs for the cross-language ratio read.
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,57546096,48864681,57833393,5762.42,15.59,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,301992996,298190201,302741387,30240.31,1.51,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,103410040,102891533,104722194,5621.31,1.77,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,476668685,472294810,477927295,25911.44,1.18,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,96222434,94846680,96447315,1192.94,1.66,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,131623868,129263043,132233834,1631.84,2.26,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,727625860,725052940,730218381,4163.51,0.71,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1015816802,1010637571,1018509106,5812.55,0.77,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,64676092,64384029,64737730,3762.48,0.55,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,132487209,132037441,132875513,7707.33,0.63,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,97244844,97115972,97343252,2596.72,0.23,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,212795139,211761650,213374823,5682.24,0.76,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,118670996,118609635,119772489,3168.86,0.98,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,260651412,260188164,263854055,6960.14,1.41,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1008981643,1000770777,1019940803,9622.40,1.90,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1398090597,1391377448,1411443632,13333.23,1.44,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,184654935,183804700,186259686,4578.62,1.33,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,7,756666459,745348122,759126382,18761.95,1.82,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,7,72335859,60166918,73161910,3242.29,17.96,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,7,139251281,139109750,139725178,6241.62,0.44,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,7,27273239,27213839,27521231,2392.90,1.13,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,7,53088228,52634753,53465467,4657.86,1.56,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,message_batch,write,26214400,25,7,88264407,84372482,92736438,2104.39,9.48,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,message_batch,read,26214400,25,7,108754472,107310851,110551694,2592.91,2.98,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,bench_packet,write,32000000,49,7,81821822,81039748,82041833,3823.54,1.22,6b118770d85af4f6,rt,hdr,removed,O3,partial:1
