# schema bench results
# date: 2026-08-16T11:08:14Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg cpp-off] post-law hotel window, Air on external power, machine quiet by Glenn's word; all other workers stopped
# schema commit: 6550f33
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: 409bdaf (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: a094849 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (debug-assert-check-model) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: 2faa767 (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (four post-law legs per round)
# load_start: 3.20 2.79 2.62
# load_end: 2.80 2.82 2.68
# load_max: 3.34
# control_start_median: 101005796   control_end_median: 101602120
# control_delta_pct: 0.6   window: OK
# era: POST-LAW — serialize.c a2a561f (#20: zero release validation, checks=removed by ruling) +
# era:   409bdaf (#21: align-up buffer contract, tail-window machinery gone, reader is C++'s
# era:   BitReader load-for-load); schema 6550f33 with #50 (C legs adopt the contract).
# era: Air-on-external-power hotel window, 2026-08-16, machine quiet by Glenn's word.
# era: NOT comparable to the phase4-air airport rows (pre-law serialize.c v1.3.0), nor to any other
# era:   host or era (§5.3 rule 8). cpp-off and cpp-AB differ ONLY by the two READ_SPINE_DEMAND defines.
# era: c checks metadata is 'removed' as of this pass — the post-#20 truth; 'contract' died with the
# era:   write-capacity check. Linkage stays hdr+tu, and that caption still applies to C-vs-C++ ratios.
# corpus_id: 6b118770d85af4f6
# era: PAIR FILE — cpp rows are leg cpp-off, c rows are leg c-main, same pass, same rounds, same window;
# era:   assembled row-for-row from the stamped leg CSVs for the cross-language ratio read.
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,58124979,54953773,58354092,5820.39,5.85,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,89050375,87544766,89731129,8917.13,2.46,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,103806257,99540726,104163827,5642.85,4.45,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,135821268,130563683,137059227,7383.17,4.78,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,94756292,91013176,94897536,1174.77,4.10,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,130948033,128366572,131780233,1623.46,2.61,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,727963465,714875236,736532506,4165.44,2.98,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1016400038,988013477,1026587455,5815.89,3.80,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,64634408,64410563,64671092,3760.05,0.40,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,46542797,40241377,46659201,2707.59,13.79,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,97771236,97496139,97890548,2610.77,0.40,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,112844147,112466205,113160192,3013.26,0.61,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,118730144,118416275,119026512,3170.44,0.51,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,121999263,121447637,122243415,3257.73,0.65,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1015199403,1008385653,1026188688,9681.70,1.75,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1398194323,1385759120,1400286662,13334.22,1.04,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,184480240,182061340,184854729,4574.29,1.51,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,7,756585771,724062784,760588067,18759.95,4.83,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,7,72284258,71672418,72673428,3239.98,1.38,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,7,77780835,76226690,79621189,3486.35,4.36,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,7,27276187,27213360,27344670,2393.16,0.48,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,7,27080108,25776770,27106075,2375.96,4.91,6b118770d85af4f6,gen,hdr,removed,O3,partial:5
cpp,message_batch,write,26214400,25,7,91231612,88362315,92592204,2175.13,4.64,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,message_batch,read,26214400,25,7,77809279,77484144,79488953,1855.12,2.58,6b118770d85af4f6,gen,hdr,removed,O3,full
