block,bench,path,best_of_2_msgs_per_sec
Q1,bench_bits,write,38373564
Q1,bench_mixed,write,42688163
Q1,probebits,read,94277459
Q1,bench_ints,write,185063523
Q1,bench_packet,write,84017755
T1,bench_bits,write,36859623
T1,bench_mixed,write,40457700
T1,probebits,read,89560246
T1,bench_ints,write,181480895
T1,bench_packet,write,81914146
Q2,bench_bits,write,37434892
Q2,bench_mixed,write,41512862
Q2,probebits,read,94222458
Q2,bench_ints,write,189063727
Q2,bench_packet,write,83782546
T2,bench_bits,write,37249884
T2,bench_mixed,write,40753846
T2,probebits,read,89512099
T2,bench_ints,write,181779794
T2,bench_packet,write,77778169
Q3,bench_bits,write,37555186
Q3,bench_mixed,write,41527715
Q3,probebits,read,94270146
Q3,bench_ints,write,184881722
Q3,bench_packet,write,83821409
T3,bench_bits,write,36830447
T3,bench_mixed,write,40545530
T3,probebits,read,89522254
T3,bench_ints,write,180784798
T3,bench_packet,write,81900772
