config,bench,path,best_of_3_msgs_per_sec
off,bench_bits,write,181239223
off,bench_mixed,write,153385236
off,probebits,read,781517121
off,bench_ints,write,184751391
off,bench_packet,write,82503642
armed,bench_bits,write,185925594
armed,bench_mixed,write,153887585
armed,probebits,read,778458591
armed,bench_ints,write,184417774
armed,bench_packet,write,83835510
pad16,bench_bits,write,189713916
pad16,bench_mixed,write,151902940
pad16,probebits,read,776234687
pad16,bench_ints,write,185661947
pad16,bench_packet,write,83901132
pad1024,bench_bits,write,189011694
pad1024,bench_mixed,write,154948298
pad1024,probebits,read,776877183
pad1024,bench_ints,write,183778450
pad1024,bench_packet,write,83818400
pad4080,bench_bits,write,189365267
pad4080,bench_mixed,write,150445695
pad4080,probebits,read,780285596
pad4080,bench_ints,write,185441741
pad4080,bench_packet,write,80573025
pad64code,bench_bits,write,187711695
pad64code,bench_mixed,write,154229553
pad64code,probebits,read,777158623
pad64code,bench_ints,write,185434040
pad64code,bench_packet,write,83797319
align128,bench_bits,write,185289077
align128,bench_mixed,write,154802281
align128,probebits,read,779406222
align128,bench_ints,write,185355345
align128,bench_packet,write,82800226
