# schema bench results
# date: 2026-08-17T12:53:06Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I/Users/glenn/rowan-working/pins-sixlang-air-1/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I/Users/glenn/rowan-working/pins-sixlang-air-1/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# pinning: none
# noise: sixlang-air-1 quick tier (UNCERTIFIED): M2 Air, macOS, unpinned by construction (§7), interactive machine quiesced
# schema commit: c6bd97f
# serialize commit: 719e10e (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize]
# serialize.c commit: 25221cc (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize.c]
# serialize.go commit: 9e2942c (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize.go]
# serialize.rs commit: e82eecd (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize.rs]
# serialize.cs commit: 08caf8a (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize.cs]
# serialize.js commit: 2a3aef0 (HEAD) [build-verified: /Users/glenn/rowan-working/pins-sixlang-air-1/serialize.js]
# era: sixlang-air-1   tier: quick (UNCERTIFIED — §2.6 window only; no twins, no bands)
# rounds: 3   interleaved: yes
# langs: cpp c go rust cs js
# corpus note: TWO corpus_ids in this pass by runner coverage, not drift — 7a7c343f1a446f4c = 16-golden set (cpp,c,js); 6b118770d85af4f6 = same set minus real_packet.bin (go,rust,cs runners lack real_packet rows). Both ids reproduced from the on-disk goldens; zero byte drift. Cross-group ratios are outside §5.3 and live only in the era report, labelled.
# load_start: 1.46 1.30 1.41
# load_end: 1.72 2.02 2.03
# load_max: 2.23
# core_busy_pct: n/a
# foreign_procs: 2 qemu VMs (~14% cpu each) resident throughout; Spotlight/cache daemons active in the first minutes
# control_start_median: 295231088   control_end_median: 288570106
# control_delta_pct: 2.3   window: OK
# corpus_id: 7a7c343f1a446f4c
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,3,614187737,577269995,627943485,61502.18,8.25,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,3,461325541,453309158,473746546,46195.20,4.43,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,3,826296896,821545019,847861797,44917.03,3.18,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,3,497752336,485179289,498737570,27057.54,2.72,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,3,125528593,125134585,127002942,1556.27,1.49,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,3,226774510,226259274,233109289,2811.50,3.02,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,3,768030721,765257318,768039938,4394.71,0.36,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,3,1038168929,1036297395,1066927471,5940.45,2.95,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,3,104370515,101403809,104505493,6071.66,2.97,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,3,242361816,241418333,249683993,14099.19,3.41,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,3,459624831,457208173,461294508,12273.31,0.89,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,3,253972285,251153738,258531541,6781.79,2.90,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,write,32000000,28,3,432865298,431650795,433439888,11558.75,0.41,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,read,32000000,28,3,287837084,287459576,294212293,7686.08,2.35,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,3,1066400067,1052999609,1071699187,10169.98,1.75,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,3,1416791191,1415287313,1430007819,13511.57,1.04,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,3,594135695,592587106,596444631,14731.91,0.65,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,3,774893452,772093640,776934750,19213.90,0.62,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probearray,write,20000000,47,3,81121094,79114550,81254240,3636.07,2.64,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probearray,read,20000000,47,3,141592920,141430713,141686208,6346.58,0.18,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,testdata,write,8000000,92,3,37134688,37065351,37686253,3258.12,1.67,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,testdata,read,8000000,92,3,60877704,60809681,61495415,5341.29,1.13,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,real_packet,write,8000000,204,3,25659201,25636178,26335888,4991.99,2.73,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,real_packet,read,8000000,204,3,30178088,30027663,30883261,5871.13,2.84,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,message_batch,write,26214400,25,3,178226196,168477339,204228798,4249.24,20.06,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,message_batch,read,26214400,25,3,149358737,140224450,152806421,3560.99,8.42,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,bench_packet,write,32000000,49,3,118125205,118048946,118233445,5520.00,0.16,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bench_packet,read,32000000,49,3,140690880,140270283,140837632,6574.49,0.40,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bench_ints,write,40000000,14,3,191332632,191018319,191851124,2554.57,0.44,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bench_ints,read,40000000,14,3,178819701,178710248,178871678,2387.50,0.09,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bench_bits,write,48000000,20,3,192190653,192072988,192417160,3665.75,0.18,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bench_bits,read,48000000,20,3,224164985,224001792,225160779,4275.61,0.52,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bench_mixed,write,40000000,21,3,159317484,159043829,159391761,3190.68,0.22,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,3,174149281,174055315,174300293,3487.72,0.14,7a7c343f1a446f4c,rt,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,3,62239,61901,62291,3888.87,0.63,7a7c343f1a446f4c,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,3,58956,57448,59053,3683.74,2.72,7a7c343f1a446f4c,bits,hdr,removed,O3,unknown
cpp,rigidbody_moving,write,24000000,105,3,625871985,611502622,627069821,62672.19,2.49,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,3,462088676,461009853,474737535,46271.62,2.97,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,3,848675978,827495246,851099664,46133.55,2.78,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,3,497857200,484853687,498546557,27063.24,2.75,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,3,132050472,129083744,132411252,1637.13,2.52,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,3,218280582,218064195,218468269,2706.19,0.19,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,3,763670626,761051222,764066078,4369.76,0.39,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,3,1045451505,1037385269,1046972195,5982.12,0.92,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,3,114948481,111759192,115055870,6687.03,2.87,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,3,292604644,291142222,293038280,17022.02,0.65,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
