# schema bench results
# date: 2026-08-16T12:28:07Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -DSCHEMA_C_READ_SPINE_DEMAND -DSCHEMA_C_WRITE_SPINE_DEMAND -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg c-armed] tournament, hotel window, Air on external power, machine exclusively ours during rounds
# schema commit: 194c17c
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: 80e5457 (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: a094849 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (debug-assert-check-model) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: 2faa767 (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (four tournament legs per round)
# load_start: 2.10 1.57 1.60
# load_end: 2.22 1.97 1.77
# load_max: 2.31
# control_start_median: 103791359   control_end_median: 103544559
# control_delta_pct: 0.2   window: OK
# era: TOURNAMENT — the four-leg switch tournament under the night mandate (C/C++ complete parity;
# era:   winners become shipped defaults, losers get removed). Air-on-external-power hotel window, 2026-08-16,
# era:   machine exclusively ours during rounds.
# era: mains: serialize.c 80e5457 (#22 fixed/compressed-float join the demand set; #23 SERIALIZE_WORD_COPY,
# era:   all five bitpacker groups unroll), serialize b6f4c2c, schema 194c17c
# era:   (#52 C-side spine-demand switches; #53 interior-null refusal — BOTH emitters word-wise scan,
# era:   C readers now pay SPEC 4.7, so chat reads are equivalent work for the first time).
# era: legs: cpp-off | cpp-armed (SCHEMA_READ_SPINE_DEMAND + SERIALIZE_READ_SPINE_DEMAND) |
# era:   c-off | c-armed (SCHEMA_C_READ_SPINE_DEMAND + SCHEMA_C_WRITE_SPINE_DEMAND); same-language legs
# era:   differ ONLY by those defines. NOT comparable to phase4-air, postlaw-air, or any other era/host
# era:   (§5.3 rule 8). checks=removed both languages (post-#20); linkage hdr vs hdr+tu caption applies.
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,7,607764189,581705365,617553972,60858.96,5.90,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,rigidbody_moving,read,24000000,105,7,456065673,454829724,461565089,45668.50,1.48,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,rigidbody_at_rest,write,32000000,57,7,826254230,819903147,828157346,44914.71,1.00,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,rigidbody_at_rest,read,32000000,57,7,484966052,482305420,485400076,26362.48,0.64,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,chat,write,48000000,13,7,75112904,75062513,75196451,931.23,0.18,6b118770d85af4f6,gen,hdr+tu,removed,O3,partial:1
c,chat,read,48000000,13,7,188799471,188459968,191896376,2340.69,1.82,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,test,write,192000000,6,7,764842729,759956619,766421172,4376.47,0.85,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,test,read,192000000,6,7,1043920793,1037086651,1045262023,5973.36,0.78,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,inputpacket,write,16000000,61,7,101614399,101521554,101693838,5911.33,0.17,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,inputpacket,read,16000000,61,7,242747907,242009892,243087207,14121.65,0.44,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,shipcreate,write,32000000,28,7,457737916,452591084,462167275,12222.92,2.09,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,shipcreate,read,32000000,28,7,253387072,249569103,255132549,6766.16,2.20,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,ship_shallow,write,32000000,28,7,434522840,433293163,436210964,11603.01,0.67,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,ship_shallow,read,32000000,28,7,288918182,286399599,290483928,7714.95,1.41,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,probe_header,write,256000000,10,7,1085444863,1053424245,1099798083,10351.61,4.27,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,probe_header,read,256000000,10,7,1431319049,1422838787,1432320080,13650.12,0.66,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,probebits,write,128000000,26,7,597438483,594767901,601294663,14813.81,1.09,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,probebits,read,128000000,26,7,771865502,770142536,775113997,19138.82,0.64,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,probearray,write,20000000,47,7,81226191,79062946,81326930,3640.78,2.79,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,probearray,read,20000000,47,7,146207381,145602796,146637242,6553.41,0.71,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,testdata,write,8000000,92,7,28984877,28959486,29026102,2543.08,0.23,6b118770d85af4f6,gen,hdr+tu,removed,O3,partial:1
c,testdata,read,8000000,92,7,55733593,55711858,55771671,4889.96,0.11,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,message_batch,write,26214400,25,7,89729556,77350746,128712696,2139.32,57.24,6b118770d85af4f6,gen,hdr+tu,removed,O3,partial:1
c,message_batch,read,26214400,25,7,125044242,110225123,138517305,2981.29,22.63,6b118770d85af4f6,gen,hdr+tu,removed,O3,full
c,bench_packet,write,32000000,49,7,84997649,84922535,85073802,3971.94,0.18,6b118770d85af4f6,rt,hdr+tu,removed,O3,partial:1
