# schema TABLES bench results (bench/tables/README.md)
# date: 2026-09-03T09:07:45Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# corpus: bench/corpus/BenchTable.schema (one fixed table on the tolerant wire, docs/SPEC-TABLES.md §3)
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# dotnet: 10.0.400
# rounds: 1
# pinning: none (macOS has no taskset)
# noise: unlabelled
# schema commit: ed65cd9 (port-java-tables)
# serialize.cs commit: 1439c6f (main)  (the closure's type codecs only — no line of the measured table path enters it)
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_table,write,400000,2391,7,2270121,2234040,2299792,5176.41,2.90,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,7,775058,734563,785041,1767.31,6.51,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cs,bench_table,write,400000,2391,7,302981,293409,311255,690.87,5.89,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,7,203369,151872,212985,463.73,30.05,2f7567e1e25ba918,table,asm,contract,default,unknown
go,bench_table,write,400000,2391,7,346582,342897,358127,790.29,4.39,2f7567e1e25ba918,table,pkg,contract,default,unknown
go,bench_table,round_trip,400000,2391,7,216861,168559,225014,494.49,26.03,2f7567e1e25ba918,table,pkg,contract,default,unknown
rust,bench_table,write,400000,2391,7,2060082,2050065,2066715,4697.47,0.81,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,7,640321,635023,646312,1460.08,1.76,2f7567e1e25ba918,table,crate,always,O3,unknown
java,bench_table,write,400000,2391,7,1637602,1621528,1642524,3734.12,1.28,2f7567e1e25ba918,table,class,contract,default,unknown
java,bench_table,round_trip,400000,2391,7,468318,404668,489332,1067.88,18.08,2f7567e1e25ba918,table,class,contract,default,unknown
