# schema TABLES bench results (bench/tables/README.md)
# date: 2026-09-03T04:19:10Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# corpus: bench/corpus/BenchTable.schema (one fixed table on the tolerant wire, docs/SPEC-TABLES.md §3)
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# dotnet: 10.0.400
# rounds: 7
# pinning: none (macOS has no taskset)
# noise: unlabelled
# schema commit: c49b751-dirty (port-rust-tables)
# serialize.cs commit: 1439c6f (main)  (the closure's type codecs only — no line of the measured table path enters it)
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_table,write,400000,2391,1,461887,461887,461887,1053.21,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,326928,326928,326928,745.47,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,461170,461170,461170,1051.58,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,328534,328534,328534,749.14,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,461466,461466,461466,1052.25,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,329385,329385,329385,751.08,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,462829,462829,462829,1055.36,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,328364,328364,328364,748.75,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,451162,451162,451162,1028.75,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,329135,329135,329135,750.51,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,461461,461461,461461,1052.24,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,328757,328757,328757,749.64,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,463525,463525,463525,1056.95,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,328246,328246,328246,748.48,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cs,bench_table,write,400000,2391,1,338587,338587,338587,772.06,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,212986,212986,212986,485.66,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,338884,338884,338884,772.74,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,214123,214123,214123,488.25,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,264465,264465,264465,603.04,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,205572,205572,205572,468.75,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,325417,325417,325417,742.03,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,209176,209176,209176,476.97,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,338488,338488,338488,771.83,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,203289,203289,203289,463.55,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,326159,326159,326159,743.72,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,213645,213645,213645,487.16,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,338977,338977,338977,772.95,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,213338,213338,213338,486.46,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
rust,bench_table,write,400000,2391,1,1030662,1030662,1030662,2350.15,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,495012,495012,495012,1128.74,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,1025402,1025402,1025402,2338.16,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,494850,494850,494850,1128.37,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,1030354,1030354,1030354,2349.45,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,495332,495332,495332,1129.47,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,1030645,1030645,1030645,2350.11,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,494941,494941,494941,1128.58,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,1030897,1030897,1030897,2350.69,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,494940,494940,494940,1128.58,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,1031167,1031167,1031167,2351.30,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,494403,494403,494403,1127.36,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,1028668,1028668,1028668,2345.61,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,495504,495504,495504,1129.87,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
