# schema TABLES bench results (bench/tables/README.md)
# date: 2026-09-03T06:08:05Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# corpus: bench/corpus/BenchTable.schema (one fixed table on the tolerant wire, docs/SPEC-TABLES.md §3)
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# dotnet: 10.0.400
# rounds: 7
# pinning: none (macOS has no taskset)
# noise: unlabeled
# schema commit: 045ea87-dirty (port-rust-tables)
# serialize.cs commit: 1439c6f (main)  (the closure's type codecs only — no line of the measured table path enters it)
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_table,write,400000,2391,1,2425295,2425295,2425295,5530.24,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,817426,817426,817426,1863.92,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,2317596,2317596,2317596,5284.66,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,822612,822612,822612,1875.75,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,2054167,2054167,2054167,4683.98,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,811624,811624,811624,1850.69,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,2438803,2438803,2438803,5561.04,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,826664,826664,826664,1884.99,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,2378514,2378514,2378514,5423.57,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,823145,823145,823145,1876.96,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,2410707,2410707,2410707,5496.98,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,824229,824229,824229,1879.44,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,write,400000,2391,1,2440503,2440503,2440503,5564.92,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cpp,bench_table,round_trip,400000,2391,1,661405,661405,661405,1508.16,0.00,2f7567e1e25ba918,table,hdr,contract,O3,unknown
cs,bench_table,write,400000,2391,1,291248,291248,291248,664.11,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,207648,207648,207648,473.49,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,319314,319314,319314,728.11,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,208527,208527,208527,475.49,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,294448,294448,294448,671.41,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,204010,204010,204010,465.19,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,332079,332079,332079,757.22,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,173681,173681,173681,396.03,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,315837,315837,315837,720.18,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,199196,199196,199196,454.21,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,335662,335662,335662,765.39,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,211501,211501,211501,482.27,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,write,400000,2391,1,336358,336358,336358,766.97,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
cs,bench_table,round_trip,400000,2391,1,210106,210106,210106,479.09,0.00,2f7567e1e25ba918,table,asm,contract,default,unknown
rust,bench_table,write,400000,2391,1,2042548,2042548,2042548,4657.49,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,621099,621099,621099,1416.25,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,2043178,2043178,2043178,4658.93,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,576810,576810,576810,1315.26,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,1993929,1993929,1993929,4546.63,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,595473,595473,595473,1357.82,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,write,400000,2391,1,2004994,2004994,2004994,4571.86,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
rust,bench_table,round_trip,400000,2391,1,646352,646352,646352,1473.84,0.00,2f7567e1e25ba918,table,crate,always,O3,unknown
